Bacterial Bait  (Locus ID),Human Protein Uniprot,Human Gene name,MIST,Abundance,Reproducibility,Specificity,IP Number,WD,WDv2,Entry.name,Protein.names,,Length (aa)
Apa,P50570,DNM2 DYN2,0.978372679,0.037192431,0.956745358,1,"TBIP196,TBIP250,TBIP301",13182.50192,615.9910186,DYN2_HUMAN,Dynamin-2 (EC 3.6.5.5),,870
Apa,Q16630,CPSF6 CFIM68,0.974054014,0.010090744,0.948108027,1,"TBIP196,TBIP250,TBIP301",5381.733871,251.4772803,CPSF6_HUMAN,Cleavage and polyadenylation specificity factor subunit 6 (Cleavage and polyadenylation specificity factor 68 kDa subunit) (CFIm68) (CPSF 68 kDa subunit) (Pre-mRNA cleavage factor Im 68 kDa subunit) (Protein HPBRII-4/7),,551
Apa,P50552,VASP,0.970803678,0.038917297,0.941607356,1,"TBIP196,TBIP250,TBIP301",8969.556451,419.1288005,VASP_HUMAN,Vasodilator-stimulated phosphoprotein (VASP),,380
Apa,P22234,PAICS ADE2 AIRC PAIS,0.968432195,0.082649337,0.981604627,0.955259763,"TBIP196,TBIP250,TBIP301",1544.712456,181.8852633,PUR6_HUMAN,Multifunctional protein ADE2 [Includes: Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase); Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC)],,425
Apa,O94979,SEC31A KIAA0905 SEC31L1 HSPC275 HSPC334,0.958210984,0.005562705,0.916421968,1,"TBIP196,TBIP250,TBIP301",5949.730657,278.018594,SC31A_HUMAN,Protein transport protein Sec31A (ABP125) (ABP130) (SEC31-like protein 1) (SEC31-related protein A) (Web1-like protein),,1220
Apa,O43809,NUDT21 CFIM25 CPSF25 CPSF5,0.955580334,0.015188009,0.911160667,1,"TBIP196,TBIP250,TBIP301",4394.167305,205.3303395,CPSF5_HUMAN,Cleavage and polyadenylation specificity factor subunit 5 (Cleavage and polyadenylation specificity factor 25 kDa subunit) (CFIm25) (CPSF 25 kDa subunit) (Nucleoside diphosphate-linked moiety X motif 21) (Nudix motif 21) (Pre-mRNA cleavage factor Im 25 kDa subunit),,227
Apa,Q9NTZ6,RBM12 KIAA0765 HRIHFB2091,0.933774667,0.004328588,0.965226321,0.902323014,"TBIP196,TBIP250,TBIP301",1461.694932,108.4226311,RBM12_HUMAN,RNA-binding protein 12 (RNA-binding motif protein 12) (SH3/WW domain anchor protein in the nucleus) (SWAN),,932
Apa,P55735,SEC13 D3S1231E SEC13L1 SEC13R,0.92007439,0.016790896,0.948780746,0.891368034,"TBIP196,TBIP250,TBIP301",1689.197574,125.2978589,SEC13_HUMAN,Protein SEC13 homolog (SEC13-like protein 1) (SEC13-related protein),,322
Apa,Q8WUM4,PDCD6IP AIP1 ALIX KIAA1375,0.815463277,0.00347836,0.630926554,1,"TBIP250,TBIP301",540.8846052,116.9210991,PDC6I_HUMAN,Programmed cell death 6-interacting protein (PDCD6-interacting protein) (ALG-2-interacting protein 1) (Hp95),,868
Apa,Q96I24,FUBP3 FBP3,0.810973393,0.006316628,0.621946785,1,"TBIP250,TBIP301",584.2221457,126.2892209,FUBP3_HUMAN,Far upstream element-binding protein 3 (FUSE-binding protein 3),,572
Apa,Q6P2E9,EDC4 HEDLS,0.804060971,0.000946685,0.608121943,1,"TBIP196,TBIP250",312.2798724,67.50442802,EDC4_HUMAN,Enhancer of mRNA-decapping protein 4 (Autoantigen Ge-1) (Autoantigen RCD-8) (Human enhancer of decapping large subunit) (Hedls),,1401
Apa,Q96M27,PRRC1,0.80379962,0.003070404,0.60759924,1,"TBIP196,TBIP301",312.2798724,67.50442802,PRRC1_HUMAN,Protein PRRC1 (Proline-rich and coiled-coil-containing protein 1),,445
Apa,Q9UI08,EVL RNB6,0.793313427,0.005704233,0.586626855,1,"TBIP196,TBIP301",441.6304308,95.46567762,EVL_HUMAN,Ena/VASP-like protein (Ena/vasodilator-stimulated phosphoprotein-like),,416
Apa,P52272,HNRNPM HNRPM NAGR1,0.565812756,0.030075862,0.951332157,0.180293354,"TBIP196,TBIP250,TBIP301",32.62456779,14.71867809,HNRPM_HUMAN,Heterogeneous nuclear ribonucleoprotein M (hnRNP M),,730
Apa,P68371,TUBB4B TUBB2C,0.505225367,0.070873735,0.999648702,0.010802033,"TBIP196,TBIP250,TBIP301",4.902573231,4.634770365,TBB4B_HUMAN,Tubulin beta-4B chain (Tubulin beta-2 chain) (Tubulin beta-2C chain),,445
Apa,P04350,TUBB4A TUBB4 TUBB5,0.505001792,0.061054781,0.997689107,0.012314476,"TBIP196,TBIP250,TBIP301",4.538900838,4.290963562,TBB4A_HUMAN,Tubulin beta-4A chain (Tubulin 5 beta) (Tubulin beta-4 chain),,444
Apa,P07437,TUBB TUBB5 OK/SW-cl.56,0.504105036,0.082095521,0.999282448,0.008927625,"TBIP196,TBIP250,TBIP301",4.689678146,4.658044416,TBB5_HUMAN,Tubulin beta chain (Tubulin beta-5 chain),,444
Apa,O15027,SEC16A KIAA0310 SEC16 SEC16L,0.5,0.000375905,9.10E-11,1,TBIP196,31.38530807,31.38530807,SC16A_HUMAN,Protein transport protein Sec16A (SEC16 homolog A),,2179
Apa,O75340,PDCD6 ALG2,0.5,0.002559909,9.10E-11,1,TBIP250,31.38530807,31.38530807,PDCD6_HUMAN,Programmed cell death protein 6 (Apoptosis-linked gene 2 protein) (Probable calcium-binding protein ALG-2),,191
Apa,O95487,SEC24B,0.5,0.000403668,9.10E-11,1,TBIP301,31.38530807,31.38530807,SC24B_HUMAN,Protein transport protein Sec24B (SEC24-related protein B),,1268
Apa,P40424,PBX1 PRL,0.5,0.001885744,9.10E-11,1,TBIP196,31.38530807,31.38530807,PBX1_HUMAN,Pre-B-cell leukemia transcription factor 1 (Homeobox protein PBX1) (Homeobox protein PRL),,430
Apa,P43243,MATR3 KIAA0723,0.5,0.001178749,9.10E-11,1,TBIP250,44.38552833,44.38552833,MATR3_HUMAN,Matrin-3,,847
Apa,Q08117,AES GRG,0.5,0.004008391,9.10E-11,1,TBIP196,31.38530807,31.38530807,AES_HUMAN,Amino-terminal enhancer of split (Amino enhancer of split) (Gp130-associated protein GAM) (Protein ESP1) (Protein GRG),,197
Apa,Q14376,GALE,0.5,0.0014565,9.10E-11,1,TBIP250,31.38530807,31.38530807,GALE_HUMAN,UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-galactose 4-epimerase),,348
Apa,Q53ET0,CRTC2 TORC2,0.5,0.001197703,9.10E-11,1,TBIP196,31.38530807,31.38530807,CRTC2_HUMAN,CREB-regulated transcription coactivator 2 (Transducer of regulated cAMP response element-binding protein 2) (TORC-2) (Transducer of CREB protein 2),,693
Apa,Q8NCA5,FAM98A,0.5,0.001585825,9.10E-11,1,TBIP196,31.38530807,31.38530807,FA98A_HUMAN,Protein FAM98A,,519
Apa,Q8NF64,ZMIZ2 KIAA1886 ZIMP7 HRIHFB2007,0.5,0.00057795,9.10E-11,1,TBIP250,31.38530807,31.38530807,ZMIZ2_HUMAN,Zinc finger MIZ domain-containing protein 2 (PIAS-like protein Zimp7),,920
Apa,Q8NFD5,ARID1B BAF250B DAN15 KIAA1235 OSA2,0.5,0.00023494,9.10E-11,1,TBIP301,31.38530807,31.38530807,ARI1B_HUMAN,AT-rich interactive domain-containing protein 1B (ARID domain-containing protein 1B) (BRG1-associated factor 250b) (BAF250B) (BRG1-binding protein hELD/OSA1) (Osa homolog 2) (hOsa2) (p250R),,2236
Apa,Q8WXF1,PSPC1 PSP1,0.5,0.00189836,9.10E-11,1,TBIP250,44.38552833,44.38552833,PSPC1_HUMAN,Paraspeckle component 1 (Paraspeckle protein 1),,523
Apa,Q92835,INPP5D SHIP SHIP1,0.5,0.002081674,9.10E-11,1,TBIP301,70.17968234,70.17968234,SHIP1_HUMAN,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1 (EC 3.1.3.86) (Inositol polyphosphate-5-phosphatase of 145 kDa) (SIP-145) (SH2 domain-containing inositol 5'-phosphatase 1) (SH2 domain-containing inositol phosphatase 1) (SHIP-1) (p150Ship) (hp51CN)",,1189
Apa,Q96RK1,CITED4 MRG2,0.5,0.004748035,9.10E-11,1,TBIP196,31.38530807,31.38530807,CITE4_HUMAN,Cbp/p300-interacting transactivator 4 (MSG1-related protein 2) (MRG-2),,184
Apa,Q9H7E9,C8orf33,0.5,0.002232872,9.10E-11,1,TBIP250,31.38530807,31.38530807,CH033_HUMAN,UPF0488 protein C8orf33,,229
Apa,Q9NXR5,ANKRD10,0.5,0.001248429,9.10E-11,1,TBIP250,31.38530807,31.38530807,ANR10_HUMAN,Ankyrin repeat domain-containing protein 10,,420
Apa,Q9UPW0,FOXJ3 KIAA1041,0.5,0.000805402,9.10E-11,1,TBIP301,31.38530807,31.38530807,FOXJ3_HUMAN,Forkhead box protein J3,,622
Apa,Q9Y6Y8,SEC23IP MSTP053,0.5,0.000499684,9.10E-11,1,TBIP301,31.38530807,31.38530807,S23IP_HUMAN,SEC23-interacting protein (p125),,1000
Apa,P68363,TUBA1B,0.493798975,0.027175438,0.983279905,0.004318044,"TBIP196,TBIP250,TBIP301",2.645751311,2.645751311,TBA1B_HUMAN,Tubulin alpha-1B chain (Alpha-tubulin ubiquitous) (Tubulin K-alpha-1) (Tubulin alpha-ubiquitous chain),,451
Apa,Q8IY67,RAVER1 KIAA1978,0.481896811,0.003619864,0.501762607,0.462031014,"TBIP196,TBIP301",104.4209212,32.55488809,RAVR1_HUMAN,Ribonucleoprotein PTB-binding 1 (Protein raver-1),,606
Apa,Q8WWM7,ATXN2L A2D A2LG A2LP A2RP,0.478734267,0.007226083,0.949477405,0.00799113,"TBIP196,TBIP250,TBIP301",2.249945821,2.173537644,ATX2L_HUMAN,Ataxin-2-like protein (Ataxin-2 domain protein) (Ataxin-2-related protein),,1075
Apa,Q8N684,CPSF7,0.468425345,0.002752328,0.60759924,0.329251449,"TBIP196,TBIP301",130.9612806,35.66765142,CPSF7_HUMAN,Cleavage and polyadenylation specificity factor subunit 7 (Cleavage and polyadenylation specificity factor 59 kDa subunit) (CFIm59) (CPSF 59 kDa subunit) (Pre-mRNA cleavage factor Im 59 kDa subunit),,471
Apa,P11498,PC,0.448742302,0.009896427,0.896305136,0.001179469,"TBIP196,TBIP250,TBIP301",2.516611478,2.516611478,PYC_HUMAN,"Pyruvate carboxylase, mitochondrial (EC 6.4.1.1) (Pyruvic carboxylase) (PCB)",,1178
Apa,Q15942,ZYX,0.383526687,0.003625505,0.512852653,0.254200721,"TBIP250,TBIP301",39.38855098,16.28761967,ZYX_HUMAN,Zyxin (Zyxin-2),,572
Apa,P60709,ACTB,0.316481551,0.005335321,0.630926554,0.002036547,"TBIP250,TBIP301",1.489437688,1.463928588,ACTB_HUMAN,"Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]",,375
Apa,Q3ZCM7,TUBB8,0.314611723,0.019004089,0.617096055,0.012127391,"TBIP250,TBIP301",3.848428251,3.508262519,TBB8_HUMAN,Tubulin beta-8 chain,,444
Apa,P11142,HSPA8 HSC70 HSP73 HSPA10,0.311692894,0.00549272,0.621946785,0.001439002,"TBIP250,TBIP301",1.870828693,1.870828693,HSP7C_HUMAN,Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8),,646
Apa,O00160,MYO1F,0.309730481,0.000703413,9.10E-11,0.619460961,TBIP196,18.6140259,18.6140259,MYO1F_HUMAN,Unconventional myosin-If (Myosin-Ie),,1098
Apa,Q9NR12,PDLIM7 ENIGMA,0.305883776,0.001118901,9.10E-11,0.611767551,TBIP250,18.6140259,18.6140259,PDLI7_HUMAN,PDZ and LIM domain protein 7 (LIM mineralization protein) (LMP) (Protein enigma),,457
Apa,Q99867,NA,0.276791156,0.008033253,0.545469423,0.008112888,"TBIP250,TBIP301",2.469493875,2.251213285,NA,NA,,NA
Apa,Q04726,TLE3 KIAA1547,0.208657273,0.000668683,9.10E-11,0.417314545,TBIP250,19.12067938,19.12067938,TLE3_HUMAN,Transducin-like enhancer protein 3 (Enhancer of split groucho-like protein 3) (ESG3),,772
Apa,P22626,HNRNPA2B1 HNRPA2B1,0.132497093,0.001490771,9.10E-11,0.264994185,TBIP250,11.33963289,11.33963289,ROA2_HUMAN,Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1),,353
Apa,P62258,YWHAE,0.068004786,0.001912687,9.10E-11,0.136009572,TBIP250,6.476833531,6.476833531,1433E_HUMAN,14-3-3 protein epsilon (14-3-3E),,255
Apa,O60711,LPXN LDLP,0.023305455,0.003869175,9.10E-11,0.04661091,TBIP250,3.716811962,3.716811962,LPXN_HUMAN,Leupaxin,,386
Apa,Q15637,SF1 ZFM1 ZNF162,0.01394335,0.000811886,9.10E-11,0.0278867,TBIP301,13.16210394,13.16210394,SF01_HUMAN,Splicing factor 1 (Mammalian branch point-binding protein) (BBP) (mBBP) (Transcription factor ZFM1) (Zinc finger gene in MEN1 locus) (Zinc finger protein 162),,639
Apa,P20231,TPSB2 TPS2,0.01320895,0.00182015,9.10E-11,0.026417899,TBIP301,2.43237853,2.43237853,TRYB2_HUMAN,Tryptase beta-2 (Tryptase-2) (EC 3.4.21.59) (Tryptase II),,275
Apa,Q9BUF5,TUBB6,0.004875638,0.008804304,9.10E-11,0.009751277,TBIP196,2.848640746,2.848640746,TBB6_HUMAN,Tubulin beta-6 chain,,446
Apa,P62249,RPS16,0.003933799,0.005353489,9.10E-11,0.007867599,TBIP196,1.467979375,1.467979375,RS16_HUMAN,40S ribosomal protein S16,,146
Apa,P26196,DDX6 HLR2 RCK,0.002906938,0.001026036,9.10E-11,0.005813875,TBIP250,1.662085473,1.662085473,DDX6_HUMAN,Probable ATP-dependent RNA helicase DDX6 (EC 3.6.4.13) (ATP-dependent RNA helicase p54) (DEAD box protein 6) (Oncogene RCK),,483
Apa,P62736,ACTA2 ACTSA ACTVS GIG46,0.002884857,0.002093622,9.10E-11,0.005769715,TBIP196,1.776707833,1.776707833,ACTA_HUMAN,"Actin, aortic smooth muscle (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein)",,377
Apa,Q9BVA1,TUBB2B,0.002816365,0.02009585,9.10E-11,0.00563273,TBIP250,4.779765041,4.779765041,TBB2B_HUMAN,Tubulin beta-2B chain,,445
Apa,Q13885,TUBB2A TUBB2,0.002738274,0.019021311,9.10E-11,0.005476548,TBIP250,4.64509667,4.64509667,TBB2A_HUMAN,Tubulin beta-2A chain,,445
Apa,P38646,HSPA9 GRP75 HSPA9B,0.001115765,0.001192332,9.10E-11,0.00223153,TBIP196,1.360754052,1.360754052,GRP75_HUMAN,"Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Mortalin) (MOT) (Peptide-binding protein 74) (PBP74)",,679
Apa,P08107,HSPA1A HSPA1; HSPA1B,0.00023014,0.001254198,9.10E-11,0.000460281,TBIP196,1.031753909,1.031753909,HSP71_HUMAN,Heat shock 70 kDa protein 1A/1B (Heat shock 70 kDa protein 1/2) (HSP70-1/HSP70-2) (HSP70.1/HSP70.2),,641
Caea,P54652,HSPA2,0.510950651,0.015336401,0.988238965,0.033662337,"TBIP119,TBIP173,TBIP240",10.06184228,6.036139434,HSP72_HUMAN,Heat shock-related 70 kDa protein 2 (Heat shock 70 kDa protein 2),,639
Caea,P08107,HSPA1A HSPA1; HSPA1B,0.507908799,0.047493706,0.99838778,0.017429817,"TBIP119,TBIP173,TBIP240",5.707031257,5.474049922,HSP71_HUMAN,Heat shock 70 kDa protein 1A/1B (Heat shock 70 kDa protein 1/2) (HSP70-1/HSP70-2) (HSP70.1/HSP70.2),,641
Caea,Q3ZCM7,TUBB8,0.507087678,0.026978534,0.996959102,0.017216254,"TBIP119,TBIP173,TBIP240",5.029875545,4.179983992,TBB8_HUMAN,Tubulin beta-8 chain,,444
Caea,Q9BQE3,TUBA1C TUBA6,0.506420748,0.055222999,0.994841608,0.017999888,"TBIP119,TBIP173,TBIP240",6.505708281,5.644140035,TBA1C_HUMAN,Tubulin alpha-1C chain (Alpha-tubulin 6) (Tubulin alpha-6 chain),,449
Caea,Q99867,NA,0.505951438,0.018729547,0.992987658,0.018915218,"TBIP119,TBIP173,TBIP240",4.106876185,3.412942638,NA,NA,,NA
Caea,Q9BVA1,TUBB2B,0.505325615,0.05517202,0.995186889,0.015464342,"TBIP119,TBIP173,TBIP240",6.807767525,5.80734538,TBB2B_HUMAN,Tubulin beta-2B chain,,445
Caea,Q13885,TUBB2A TUBB2,0.504805869,0.052818444,0.994404442,0.015207297,"TBIP119,TBIP173,TBIP240",6.655902306,5.677797216,TBB2A_HUMAN,Tubulin beta-2A chain,,445
Caea,P04350,TUBB4A TUBB4 TUBB5,0.504018705,0.057558988,0.996428019,0.01160939,"TBIP119,TBIP173,TBIP240",5.481243505,5.181830798,TBB4A_HUMAN,Tubulin beta-4A chain (Tubulin 5 beta) (Tubulin beta-4 chain),,444
Caea,Q13509,TUBB3 TUBB4,0.503794926,0.037390296,0.98726197,0.020327882,"TBIP119,TBIP173,TBIP240",7.193747285,5.48985665,TBB3_HUMAN,Tubulin beta-3 chain (Tubulin beta-4 chain) (Tubulin beta-III),,450
Caea,Q13748,TUBA3C TUBA2; TUBA3D,0.503759847,0.045240145,0.988382162,0.019137531,"TBIP119,TBIP173,TBIP240",6.006657544,5.167662437,TBA3C_HUMAN,Tubulin alpha-3C/D chain (Alpha-tubulin 2) (Alpha-tubulin 3C/D) (Tubulin alpha-2 chain),,450
Caea,Q71U36,TUBA1A TUBA3,0.503348959,0.056602476,0.989878733,0.016819186,"TBIP119,TBIP173,TBIP240",6.480211516,5.668772973,TBA1A_HUMAN,Tubulin alpha-1A chain (Alpha-tubulin 3) (Tubulin B-alpha-1) (Tubulin alpha-3 chain),,451
Caea,P68371,TUBB4B TUBB2C,0.503273076,0.069990985,0.99587866,0.010667491,"TBIP119,TBIP173,TBIP240",6.0754619,5.743590037,TBB4B_HUMAN,Tubulin beta-4B chain (Tubulin beta-2 chain) (Tubulin beta-2C chain),,445
Caea,P11142,HSPA8 HSC70 HSP73 HSPA10,0.502759679,0.034741231,0.996417726,0.009101632,"TBIP119,TBIP173,TBIP240",4.472135955,4.472135955,HSP7C_HUMAN,Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8),,646
Caea,P07437,TUBB TUBB5 OK/SW-cl.56,0.502022315,0.076873524,0.99568488,0.00835975,"TBIP119,TBIP173,TBIP240",5.683514572,5.645177023,TBB5_HUMAN,Tubulin beta chain (Tubulin beta-5 chain),,444
Caea,Q6PEY2,TUBA3E,0.501476529,0.031352281,0.983797135,0.019155924,"TBIP119,TBIP173,TBIP240",4.992790301,4.295409669,TBA3E_HUMAN,Tubulin alpha-3E chain (Alpha-tubulin 3E),,450
Caea,Q9NY65,TUBA8 TUBAL2,0.501044179,0.030489741,0.980662782,0.021425575,"TBIP119,TBIP173,TBIP240",5.221227757,4.377487386,TBA8_HUMAN,Tubulin alpha-8 chain (Alpha-tubulin 8) (Tubulin alpha chain-like 2),,449
Caea,P11498,PC,0.50089338,0.037645775,0.997300088,0.004486673,"TBIP119,TBIP173,TBIP240",6.298147876,6.298147876,PYC_HUMAN,"Pyruvate carboxylase, mitochondrial (EC 6.4.1.1) (Pyruvic carboxylase) (PCB)",,1178
Caea,P07203,GPX1,0.5,0.001999912,9.10E-11,1,TBIP240,31.38530807,31.38530807,GPX1_HUMAN,Glutathione peroxidase 1 (GPx-1) (GSHPx-1) (EC 1.11.1.9) (Cellular glutathione peroxidase),,203
Caea,P68363,TUBA1B,0.499939667,0.059066963,0.990493882,0.009385452,"TBIP119,TBIP173,TBIP240",4.898979486,4.898979486,TBA1B_HUMAN,Tubulin alpha-1B chain (Alpha-tubulin ubiquitous) (Tubulin K-alpha-1) (Tubulin alpha-ubiquitous chain),,451
Caea,P12814,ACTN1,0.473724405,0.004734919,0.940478623,0.006970187,"TBIP119,TBIP173,TBIP240",2.790870334,2.421267955,ACTN1_HUMAN,Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1),,892
Caea,P60709,ACTB,0.458859865,0.015999715,0.911612475,0.006107254,"TBIP119,TBIP173,TBIP240",2.572911481,2.485535388,ACTB_HUMAN,"Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]",,375
Caea,P68104,EEF1A1 EEF1A EF1A LENG7,0.458841915,0.007827886,0.905738805,0.011945024,"TBIP119,TBIP173,TBIP240",2.178553132,2.014032501,EF1A1_HUMAN,Elongation factor 1-alpha 1 (EF-1-alpha-1) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1) (Leukocyte receptor cluster member 7),,462
Caea,P07858,CTSB CPSB,0.456404227,0.006743192,0.896452563,0.016355892,"TBIP119,TBIP173,TBIP240",2.861319352,2.116914099,CATB_HUMAN,Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain],,339
Caea,P04792,HSPB1 HSP27 HSP28,0.430192383,0.010196113,0.838821292,0.021563475,"TBIP119,TBIP173,TBIP240",3.615045848,2.47257248,HSPB1_HUMAN,Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27),,205
Caea,P50897,PPT1 PPT,0.343359504,0.004653932,0.627579065,0.059139943,"TBIP119,TBIP173",4.476576722,3.281626647,PPT1_HUMAN,Palmitoyl-protein thioesterase 1 (PPT-1) (EC 3.1.2.22) (Palmitoyl-protein hydrolase 1),,306
Caea,P25705,ATP5A1 ATP5A ATP5AL2 ATPM,0.331603689,0.002915619,0.630878819,0.032328559,"TBIP173,TBIP240",3.615442655,2.779845019,ATPA_HUMAN,"ATP synthase subunit alpha, mitochondrial",,553
Caea,Q9H4B7,TUBB1,0.331107775,0.009517639,0.627984056,0.034231493,"TBIP173,TBIP240",5.365660506,4.155890247,TBB1_HUMAN,Tubulin beta-1 chain,,451
Caea,P62249,RPS16,0.327002427,0.01673711,0.629407649,0.024597204,"TBIP119,TBIP173",3.753475957,3.047758352,RS16_HUMAN,40S ribosomal protein S16,,146
Caea,Q9BUF5,TUBB6,0.321854692,0.01570848,0.626311333,0.017398052,"TBIP173,TBIP240",4.868852459,4.143094391,TBB6_HUMAN,Tubulin beta-6 chain,,446
Caea,P62829,RPL23,0.320828298,0.005343403,0.627579065,0.014077531,"TBIP119,TBIP173",1.903786707,1.555504046,RL23_HUMAN,60S ribosomal protein L23 (60S ribosomal protein L17),,140
Caea,Q8IZP0,ABI1 SSH3BP1,0.319013727,0.001459467,0.626707646,0.011319807,"TBIP119,TBIP240",2.353555798,1.848955732,ABI1_HUMAN,Abl interactor 1 (Abelson interactor 1) (Abi-1) (Abl-binding protein 4) (AblBP4) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (Nap1-binding protein) (Nap1BP) (Spectrin SH3 domain-binding protein 1) (e3B1),,508
Caea,P05386,RPLP1 RRP1,0.318579766,0.006936148,0.627579065,0.009580468,"TBIP119,TBIP173",1.706896552,1.428251868,RLA1_HUMAN,60S acidic ribosomal protein P1,,114
Caea,Q00610,CLTC CLH17 CLTCL2 KIAA0034,0.317060299,0.000414336,0.627579065,0.006541533,"TBIP119,TBIP173",2.27944803,1.862441114,CLH1_HUMAN,Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17) (CLH-17),,1675
Caea,P62269,RPS18 D6S218E,0.316508849,0.004532507,0.626707646,0.006310052,"TBIP119,TBIP240",1.541476203,1.339767829,RS18_HUMAN,40S ribosomal protein S18 (Ke-3) (Ke3),,152
Caea,P11021,HSPA5 GRP78,0.314784518,0.002195919,0.627579065,0.00198997,"TBIP119,TBIP173",2.072941239,1.872763256,GRP78_HUMAN,78 kDa glucose-regulated protein (GRP-78) (Endoplasmic reticulum lumenal Ca(2+)-binding protein grp78) (Heat shock 70 kDa protein 5) (Immunoglobulin heavy chain-binding protein) (BiP),,654
Caea,P27635,RPL10 DXS648E QM,0.308480863,0.004751053,0.603342668,0.013619057,"TBIP119,TBIP240",2.168994174,1.825284886,RL10_HUMAN,60S ribosomal protein L10 (Laminin receptor homolog) (Protein QM) (Tumor suppressor QM),,214
